id,family,hypothesis,edge_source,evidence_grade,key_references,markets,timeframes,sqx_skeleton,phase1_test,priority,prop_fit,status,notes
VB-01,F4 Vol breakout,NR7 / ATR-ratio compression then stop-entry breakout,Statistical + behavioural,C,Engle Patton 2001; Crabel 1990,"FX, metals, indices",D1,F4 skeleton,Forward range after compression vs baseline; direction after break,2,Medium,proposed,Ablation: must beat same breakout without compression filter
VB-02,F4 Vol breakout,Asian-range breakout at the London open,Statistical + structural,C,Andersen Bollerslev 1997; Ranaldo 2009,"EURUSD, GBPUSD, XAUUSD, GER40",M15-H1,F4 session variant,Hourly vol profile; follow-through after Asian-range break,2,High,proposed,No peer-reviewed support found; may conflict with USD reversal at London fix (Krohn et al 2024)
VB-03,F4 Vol breakout,Williams-style Open +/- k*ATR volatility breakout,Statistical + behavioural,C,Practitioner (Williams); Engle Patton 2001,"Indices, XAUUSD",D1/H4,F4 skeleton (open-based level),Forward return after open+k*ATR break,3,Medium,proposed,
CF-01,F5 Calendar,Turn-of-month long (T-1 to T+3),Structural (flows),D,McConnell Xu 2008; Han Han Tian 2025 (disappears after 2001),Index basket,D1,Fixed rule + TradingDaysToMonthEnd custom block,TOM-window vs other-day returns per index and per year,3,None,control,Decay control: effect gone after 2001 on S&P 500 (FRL 2025). Do not trade
CF-02,F5 Calendar,Month-end rebalancing contrarian (equity vs bond month-to-date),Structural (rebalancing),B,Harvey Mazzoleni Melone 2025 (NBER WP 33554),"US500, GER40 (+ bond series)",D1,Multi-symbol + MonthToDateReturn custom block,Last-days returns conditional on MTD equity-bond spread,2,Medium,proposed,"Working paper (NBER 33554, rev. Jan 2026); -16/-17 bps next-day equity per 1-SD signal; read band/calendar details from paper"
CF-03,F5 Calendar,Turn-of-month as an entry/size overlay on MR-01,Structural,C,McConnell Xu 2008; Baltussen et al 2019,Index basket,D1,Overlay,MR-01 returns inside vs outside TOM window,3,Medium,proposed,Only if CF-01 is alive in your own post-2001 data
CF-04,F5 Calendar,Halloween regime overlay for long-only index sleeves,Unclear (seasonal),B,Bouman Jacobsen 2002,Index basket,D1,Overlay (month filter),Nov-Apr vs May-Oct returns per index,3,Low,proposed,Overlay only; too few independent observations to trade alone
CF-05,F5 Calendar,Decay controls: overnight 2-3am ET long; pre-FOMC long,Structural (dead),D,Boyarchenko Larsen Whelan 2023; NY Fed 2026; Lucca Moench 2015; Kurov et al 2021,US500 futures/CFD,H1,Fixed time rule,Track rolling effect size annually,3,None,control,Never traded; calibrates edge-decay speed
FX-01,F6 FX flows,"Dollar reversals around Tokyo and London fixes: USD up into each fix, down after",Structural (order flow),B+,Krohn Mueller Whelan 2024 (JF); Ranaldo 2009; Breedon Ranaldo 2013,"EURUSD, GBPUSD, USDJPY, AUDUSD, G10 basket",H1,Time-gated fixed rule,"DOL/pair returns over NY close->Tokyo fix, Tokyo fix->EU open, EU open->London fix, London fix->NY close",2,Medium,proposed,~2 bps/day gross; cost-sensitive (raw spread + commission at fix times); see evidence/edges/FX-01
FX-02,F6 FX flows,Month-end London 4pm fix hedging flow (equity MTD return signal),Structural (hedging),B,Melvin Prins 2015; Evans 2018,"EURUSD, GBPUSD, USDJPY, AUDUSD",M15-H1,Multi-symbol + MonthToDateReturn + last-business-day custom blocks,Pre-fix return on month-end days vs MTD equity differential,2,Low,proposed,Test pre/post Feb 2015 fix-window change separately; exact windows in evidence/edges/FX-02
FX-03,F6 FX flows,Post-fix reversal,Structural (hedging),B,Melvin Prins 2015,Same as FX-02,M15-H1,Time-gated fixed rule,Post-fix return vs pre-fix move,3,Low,proposed,
FX-04,F6 FX flows,Session volatility ramp as a filter for F4 breakouts,Statistical,B,Andersen Bollerslev 1997; Ranaldo 2009,FX majors,M15-H1,Overlay on VB-02,VB-02 results inside vs outside ramp window,3,Medium,proposed,
CA-01,F7 Carry,F1 trend signals on FX only in the carry-positive direction,Risk premium + behavioural,B,Koijen et al 2018; Burnside Eichenbaum Rebelo 2011; Menkhoff et al 2012b,FX majors and crosses (6+),D1,F1 + imported rate-differential series (multi-symbol),Trend returns split by carry sign,2,Low,proposed,Bracket swap scenarios (0/current/adverse)
CA-02,F7 Carry,Carry-direction swing that stands aside when FX volatility spikes,Risk premium,B,Menkhoff et al 2012a; Brunnermeier Nagel Pedersen 2008,FX crosses,D1,Carry filter + vol filter,Carry-direction returns by FX-vol tercile,3,Low,proposed,Stress-test Aug 2024 and 2008
IX-01,F8 Intermarket,MR entries only when VIX / realised vol is elevated,Risk premium,B,Nagel 2012,Index basket,D1,= MR-03,= MR-03,2,Medium,proposed,Duplicate of MR-03 as an intermarket implementation
IX-02,F8 Intermarket,Commodity-currency momentum as a leading filter for commodities,Information flow (contested),D,Chen Rogoff Rossi 2010; Bork Rovira Kaltwasser Sercu (CFR replication),"XAUUSD, WTI",D1,Multi-symbol filter,Lead-lag correlation at D1/W1,3,None,parked,Replication finds no robust OOS predictability
IX-03,F8 Intermarket,AUDJPY/USDJPY trend only in the direction of the US500 trend (risk-on/off),Practitioner,C,Practitioner,"AUDJPY, USDJPY",D1/H4,Multi-symbol filter on F1,Conditional JPY-cross trend returns by US500 trend state,3,Low,proposed,Check session-close alignment (look-ahead)
IX-04,F8 Intermarket,Stand aside from carry when cross-asset volatility spikes,Risk premium,B,Menkhoff et al 2012a,FX crosses,D1,Portfolio-level overlay,Sleeve returns by cross-asset vol regime,3,Low,proposed,Not for MR: Nagel 2012 implies MR pays more in high vol (see MR-03)
SR-01,F9 Range MR,Asian-session band fade on low-volatility crosses with limit entries,Liquidity provision,C,Andersen Bollerslev 1997 (context only),"EURGBP, AUDNZD (+2 more)",M15-H1,F9 skeleton,Hourly autocorrelation / variance ratio in Asian session,3,Low,proposed,Grade C: pooled t>=3; <=5% risk until 6 months live
SR-02,F9 Range MR,Intraday range fade on index CFDs in low-volatility regimes only,Liquidity provision,C,Gao et al 2018 (complement),"US500, GER40",M15-H1,F9 skeleton + low-vol filter,Intraday autocorrelation split by vol tercile,3,Low,proposed,Complements IM-05
